no,type,distance
N305,normal,3
N514,normal,3
N535,normal,3
EV18,ev,11
N265,normal,3
N820,normal,3
N261,normal,1
N718,normal,2
N784,normal,1
N603,normal,2
N242,normal,1
N31,normal,1
N561,normal,4
N37,normal,1
N386,normal,4
N103,normal,2
N328,normal,1
N140,normal,4
EV8,ev,9
N214,normal,4
N371,normal,4
N5,normal,4
N635,normal,4
N575,normal,4
N518,normal,2
N154,normal,2
N92,normal,1
EV10,ev,4
EV11,ev,6
N580,normal,4
N193,normal,4
N351,normal,3
N754,normal,4
N307,normal,4
N616,normal,2
N182,normal,4
N497,normal,4
N803,normal,3
N519,normal,4
N413,normal,2
N779,normal,2
N640,normal,4
N124,normal,2
N574,normal,4
N283,normal,4
N61,normal,4
N142,normal,1
N181,normal,1
N27,normal,2
N211,normal,3
N365,normal,4
N492,normal,2
N502,normal,2
N47,normal,2
N768,normal,2
